actual,proposed
0.30000463128089905,0.22982002794742584
0.3015044629573822,0.2304328829050064
0.30300432443618774,0.23104573786258698
0.3045041859149933,0.23165859282016754
0.30600404739379883,0.2322714477777481
0.30750390887260437,0.23288428783416748
0.3090038001537323,0.23349714279174805
0.15238399803638458,0.05078870430588722
0.15276455879211426,0.0624639093875885
0.15529286861419678,0.07424955070018768
0.15776026248931885,0.08381148427724838
0.1601690798997879,0.09151940792798996
0.15519747138023376,0.09272676706314087
0.1531791090965271,0.09809938818216324
0.1467219442129135,0.09983517974615097
0.13588865101337433,0.09837642312049866
0.12945690751075745,0.09904581308364868
0.11864502727985382,0.09669512510299683
0.10351292043924332,0.09166335314512253
0.0841178223490715,0.08423256129026413
0.06923216581344604,0.07959189265966415
0.05006934329867363,0.0724819228053093
0.026684356853365898,0.0631488710641861
0.003488851711153984,0.05427489057183266
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00997406430542469,0.207574263215065
0.022319070994853973,0.18991994857788086
0.043141577392816544,0.1805100440979004
0.05925390496850014,0.17086534202098846
0.075090691447258,0.1633412092924118
0.09938178211450577,0.1625402420759201
0.11894083023071289,0.16023725271224976
0.1294858455657959,0.15404468774795532
0.15294551849365234,0.15667325258255005
0.1629919409751892,0.15227870643138885
0.17725719511508942,0.15145422518253326
0.19132819771766663,0.1512913852930069
0.20085477828979492,0.14920400083065033
0.20590564608573914,0.14535123109817505
0.2109055519104004,0.14234258234500885
0.22021591663360596,0.14251519739627838
0.2207016497850418,0.13807031512260437
0.22556547820568085,0.13688448071479797
0.2260282337665558,0.13362279534339905
0.22215233743190765,0.12846875190734863
0.21835651993751526,0.12405215948820114
0.20591920614242554,0.11529496312141418
0.20239366590976715,0.11250343173742294
0.1858556866645813,0.10262135416269302
0.17391927540302277,0.09625031799077988
0.1577950268983841,0.08801161497831345
0.13753558695316315,0.07805223017930984
0.11754992604255676,0.0689714103937149
0.09782540798187256,0.06062043085694313
0.07399089634418488,0.05039802938699722
0.04609508067369461,0.0
0.018543172627687454,0.0
3.7017241993453354e-05,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.09266732633113861
0.0,0.08955889940261841
0.0,0.08745703846216202
0.0,0.08619537204504013
0.0,0.08315790444612503
0.0,0.07847914099693298
0.0,0.07722507417201996
0.0,0.07651121914386749
0.0,0.07624824345111847
0.004526791628450155,0.07636214792728424
0.014730039983987808,0.07679082453250885
0.024763567373156548,0.07748284935951233
0.030275912955403328,0.07591801136732101
0.031334370374679565,0.07231031358242035
0.036721475422382355,0.07179242372512817
0.037659935653209686,0.0690576508641243
0.03857304900884628,0.06679031997919083
0.04817967116832733,0.06986711174249649
0.05328323692083359,0.0702914223074913
0.06266822665929794,0.07329779863357544
0.05884190648794174,0.06871013343334198
0.050709523260593414,0.06226082518696785
0.03832881897687912,0.05409662798047066
0.030473140999674797,0.0
0.027074240148067474,0.0
0.019349420443177223,0.0
0.01607506535947323,0.0
0.012827565893530846,0.0
0.013964492827653885,0.0
0.006347143556922674,0.0
0.0031744157895445824,0.0
2.2924399672774598e-05,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.24316257238388062,0.0
0.24158048629760742,0.30000001192092896
0.240006223320961,0.2950389087200165
0.238438680768013,0.26905691623687744
0.2412363886833191,0.24977727234363556
0.23962022364139557,0.23129072785377502
0.23801171779632568,0.21577945351600647
0.23641033470630646,0.20274725556373596
0.23481501638889313,0.19178025424480438
0.2332252711057663,0.1825338900089264
0.23164063692092896,0.17472104728221893
0.22570110857486725,0.16562478244304657
0.21546685695648193,0.15529577434062958
0.2053537666797638,0.14625284075737
0.19535592198371887,0.1382802426815033
0.18110856413841248,0.12872086465358734
0.16702581942081451,0.12015224993228912
0.15309925377368927,0.11240723729133606
0.13932135701179504,0.10534679144620895
0.12132584303617477,0.09637773036956787
0.10352461785078049,0.08813048154115677
0.08154941350221634,0.07800528407096863
0.06416923552751541,0.07110445201396942
0.03823497146368027,0.05961872637271881
0.012577012181282043,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.14353202283382416
0.0,0.1264728307723999
0.0,0.11210248619318008
0.0,0.10244981944561005
0.0,0.09193635731935501
0.0,0.08054271340370178
0.0,0.07320664077997208
0.0,0.06693677604198456
0.0,0.06403209269046783
0.0,0.06409423053264618
0.0,0.06679189205169678
0.0,0.06689433753490448
0.0,0.06467228382825851
0.0,0.06035063788294792
0.0,0.05907086655497551
0.0,0.058011244982481
0.0,0.05465772747993469
0.0,0.054184362292289734
0.0,0.0513189323246479
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.09990354627370834,0.0
0.0964675024151802,0.2761072516441345
0.10171008110046387,0.2526347041130066
0.10679329186677933,0.23312003910541534
0.1073642298579216,0.21442626416683197
0.11220724880695343,0.20120829343795776
0.11254680156707764,0.1877613067626953
0.1171669065952301,0.17891518771648407
0.1172918826341629,0.16911105811595917
0.11734601855278015,0.16082273423671722
0.12169082462787628,0.15627458691596985
0.11719101667404175,0.14757370948791504
0.11269049346446991,0.14004109799861908
0.10382921248674393,0.13100366294384003
0.0993848368525505,0.12550301849842072
0.09493425488471985,0.1206338107585907
0.0861181765794754,0.11381273716688156
0.07735525071620941,0.10767847299575806
0.06864213943481445,0.10211515426635742
0.05561661347746849,0.09454888850450516
0.04269520938396454,0.08762659877538681
0.029871657490730286,0.08123879879713058
0.021500252187252045,0.07777230441570282
0.013155543245375156,0.07442358881235123
0.004835963249206543,0.07117204368114471
0.18126925826072693,0.06552233546972275
0.17852817475795746,0.30000001192092896
0.17804427444934845,0.2815709114074707
0.17546765506267548,0.25554484128952026
0.17300528287887573,0.2332712560892105
0.15865902602672577,0.21164536476135254
0.14754478633403778,0.19534887373447418
0.13648511469364166,0.1811772733926773
0.12547548115253448,0.16877412796020508
0.11015394330024719,0.1553659290075302
0.09057701379060745,0.1409551501274109
0.07987604290246964,0.13297568261623383
0.0648445338010788,0.12324671447277069
0.04553968459367752,0.11189481616020203
0.030735261738300323,0.10398030281066895
0.016003474593162537,0.09661292284727097
0.00569842429831624,0.09217651188373566
0.0,0.08538831770420074
0.0,0.0814305990934372
0.0,0.07751470804214478
0.0,0.07363161444664001
0.0,0.06729706376791
0.0,0.061231959611177444
0.0,0.05786621570587158
0.0,0.051956307142972946
0.0,0.0
0.0,0.061576344072818756
0.0,0.05403723940253258
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
